pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist
TOI-756 b,TOI-756,1,2,Transit,2025,1.2392495,2.81,9.83,934.0,3657.0,0.505,0.505,86.1759
TOI-756 c,TOI-756,1,2,Radial Velocity,2025,149.4,13.0,1287.20504835,194.0,3657.0,0.505,0.505,86.1759
TOI-283 b,TOI-283,1,1,Transit,2025,17.61745,2.34,6.54,661.0,5213.0,0.85,0.8,82.7013
BD+05 4868 A b,BD+05 4868 A,2,1,Transit,2025,1.271869,,6.2,1820.0,4596.0,0.69,0.7,43.5687
TOI-2719 b,TOI-2719,1,1,Transit,2025,3.37594,5.98,29.9,1710.0,5762.0,1.69,1.02,588.368
GJ 508.2 b,GJ 508.2,1,1,Radial Velocity,2025,5300.0,,587.98255295,,3720.0,0.53,0.54,16.6374
HD 102888 b,HD 102888,1,1,Radial Velocity,2025,252.06,12.8,1808.44363583,,4990.0,8.6,2.42,126.484
HD 143811 AB b,HD 143811 A,2,1,Imaging,2025,117000.0,15.69257298,1938.7532827,,6791.0,1.68398,1.32,136.608
WASP-155 b,WASP-155,1,1,Transit,2025,3.110413,13.45077684,276.8285425,1468.0,5660.0,1.24,1.09,399.63
TOI-238 c,TOI-238,1,2,Radial Velocity,2024,8.465651,2.18,6.7,696.0,5059.0,0.733,0.79,80.5407
HD 222237 b,HD 222237,1,1,Radial Velocity,2024,14892.0,12.8,1649.52943233,,4751.0,0.71,0.76,11.4469
SPECULOOS-3 b,SPECULOOS-3,1,1,Transit,2024,0.71912603,0.977,0.894,553.0,2800.0,0.123,0.1009,
TOI-1794 b,TOI-1794,1,1,Transit,2024,8.765528,3.29701268,8.7,992.91,5631.0,1.3162,0.9698,155.791
TOI-6016 b,TOI-6016,1,1,Transit,2024,4.023687,13.67495645,371.85923619,1890.0,6110.0,1.51,1.31,364.715
TOI-6086 b,TOI-6086,1,1,Transit,2024,1.3888725,1.18,1.76,634.0,3200.0,0.259,0.254,31.4566
OGLE-2017-BLG-0640L b,OGLE-2017-BLG-0640L,1,1,Microlensing,2024,,13.5,514.88201934,,,,0.32,6630.0
HIP 67522 c,HIP 67522,1,2,Transit,2024,14.334892,7.93595834,48.3,917.0,5675.0,1.38,1.22,127.28
BD-210397 c,BD-210397,1,2,Radial Velocity,2023,6240.0,12.9,1525.5763536,,4051.0,0.747,0.69,23.7324
HD 89839 b,HD 89839,1,1,Radial Velocity,2023,3441.0,12.9,1592.32031907,,6314.0,1.28588,1.21,57.3063
HD 108202 b,HD 108202,1,1,Radial Velocity,2023,2990.0,13.1,953.485221,,4556.03,0.66355,0.74,38.6846
HD 63433 d,HD 63433,1,3,Transit,2023,4.209075,1.073,1.25,1040.0,5688.0,0.912,0.99,22.4035
TOI-1801 b,TOI-1801,2,1,Transit,2023,10.64387,2.079,5.738,493.7,3863.0,0.547,0.556,30.6796
BD-210397 b,BD-210397,1,2,Radial Velocity,2023,1891.0,14.0,214.0,,4051.0,0.747,0.679,23.7324
Kepler-1983 b,Kepler-1983,1,1,Transit,2023,7.32851947,2.33,6.04,807.0,5135.0,0.874,0.812,424.428
Kepler-949 c,Kepler-949,1,2,Transit,2023,20.99757968,2.97,9.11,582.0,5211.0,0.895,0.817,486.105
KMT-2017-BLG-0428L b,KMT-2017-BLG-0428L,1,1,Microlensing,2023,,2.23,5.59,,,,0.34,5400.0
TOI-4201 b,TOI-4201,1,1,Transit,2023,3.5819194,13.67495645,788.21444936,725.0,3794.0,0.63,0.61,189.011
HD 29985 b,HD 29985,1,1,Radial Velocity,2022,20608.14049,12.8,1739.47487151,,4678.0,0.574666,0.75,31.2707
HD 11506 d,HD 11506,1,3,Radial Velocity,2022,26500.0,12.3,4068.2036096,,6123.0,1.24,1.22,51.261
HD 72659 c,HD 72659,1,2,Radial Velocity,2022,18207.72098,12.1,5977.08102204,,5932.0,1.46,1.09,51.8949
HD 3167 e,HD 3167,1,4,Radial Velocity,2022,96.63,2.83,8.41,374.8,5261.0,0.88,0.837,47.2899
HD 168863 b,HD 168863,1,1,Radial Velocity,2022,14773.93272,12.7,2154.87659946,,4905.0,0.777826,0.8,39.8979
TOI-5542 b,TOI-5542,1,1,Transit,2022,75.12375,11.30986153,419.53349724,441.0,5700.0,1.058,0.89,348.849
TOI-833 b,TOI-833,1,1,Transit,2022,1.0418777,1.27,2.15,1118.0,3920.0,0.6,0.61,41.7148
HD 62364 c,HD 62364,1,2,Radial Velocity,2022,74839.94555,12.0,7923.46218651,,6255.0,1.401,1.19,53.112
HD 62364 b,HD 62364,1,2,Radial Velocity,2022,5138.0,12.1,5965.63919939,,6255.0,1.401,1.157,53.112
HD 199509 b,HD 199509,1,1,Radial Velocity,2022,99.62167,7.43,43.22466335,,5796.02,0.92,1.04,24.3056
TOI-1136 c,TOI-1136,1,6,Transit,2022,6.2574,2.879,6.32,1062.0,5770.0,0.968,1.022,84.5362
OGLE-2018-BLG-0298L b,OGLE-2018-BLG-0298L,1,1,Microlensing,2022,,7.56,44.49597698,,,,0.69,6540.0
HD 105618 b,HD 105618,1,2,Radial Velocity,2022,10.02245,5.44,25.42627256,,5671.0,1.27399,1.01,70.0837
HD 16905 b,HD 16905,1,1,Radial Velocity,2022,10256.0,12.4,3591.4609991,,4866.12,0.77494,0.85,39.7401
Kepler-1740 b,Kepler-1740,1,1,Transit,2021,8.172400475,3.32321414,11.0,858.0,5705.0,0.905,0.943,1061.77
OGLE-2017-BLG-1099L b,OGLE-2017-BLG-1099L,1,1,Microlensing,2021,,13.1,959.84178914,,,,0.45,7250.0
K2-335 b,K2-335,1,1,Transit,2021,12.283211,2.21,5.52,949.0,6222.0,1.33,1.23,557.993
Kepler-1600 c,Kepler-1600,1,2,Transit,2021,7.298049927,1.94206512,4.43,786.0,5119.0,0.834,0.818,1030.81
TOI-178 g,TOI-178,1,6,Transit,2021,20.71663,2.939,4.4,470.0,4316.0,0.662,0.647,62.699
