name,host,score,habitable,reasons,warnings,temp,radius,mass,distance_pc
Kepler-296 f,Kepler-296,100,True,"['Temperatura ideal (274K)', 'Tamaño rocoso (1.80 R⊕)', 'Masa terrestre (3.9 M⊕)', 'Órbita estable (63 días)']",['Enana roja (posible radiación)'],274.0,1.8,3.89,167.0
Kepler-560 b,Kepler-560,90,True,"['Temperatura ideal (298K)', 'Tamaño rocoso (1.72 R⊕)', 'Masa terrestre (3.6 M⊕)']",['Enana roja (posible radiación)'],298.0,1.72,3.61,109.308
Kepler-445 d,Kepler-445,90,True,"['Temperatura ideal (305K)', 'Tamaño rocoso (1.25 R⊕)', 'Masa terrestre (2.1 M⊕)']",['Enana roja (posible radiación)'],305.0,1.25,2.1,127.201
Kepler-442 b,Kepler-442,90,True,"['Temperatura habitable (241K)', 'Tamaño rocoso (1.34 R⊕)', 'Masa terrestre (2.4 M⊕)', 'Órbita estable (112 días)', 'Estrella tipo solar']",[],241.0,1.34,2.36,365.965
Kepler-1549 b,Kepler-1549,80,True,"['Temperatura ideal (286K)', 'Masa terrestre (7.1 M⊕)', 'Órbita estable (215 días)', 'Estrella tipo solar']",['Posible gigante gaseoso (2.57 R⊕)'],286.0,2.57,7.13,803.052
Kepler-220 e,Kepler-220,80,True,"['Temperatura habitable (341K)', 'Tamaño rocoso (1.33 R⊕)', 'Masa terrestre (2.3 M⊕)', 'Estrella tipo solar']",[],341.0,1.33,2.33,171.109
Kepler-437 b,Kepler-437,80,True,"['Temperatura ideal (308K)', 'Masa terrestre (5.2 M⊕)', 'Órbita estable (67 días)', 'Estrella tipo solar']",['Posible gigante gaseoso (2.14 R⊕)'],308.0,2.14,5.22,304.0
Kepler-298 d,Kepler-298,80,True,"['Temperatura ideal (277K)', 'Masa terrestre (6.8 M⊕)', 'Órbita estable (77 días)', 'Estrella tipo solar']",['Posible gigante gaseoso (2.50 R⊕)'],277.0,2.5,6.8,518.204
Kepler-331 d,Kepler-331,80,True,"['Temperatura habitable (346K)', 'Tamaño rocoso (1.64 R⊕)', 'Masa terrestre (3.3 M⊕)', 'Estrella tipo solar']",[],346.0,1.64,3.33,580.119
Kepler-436 b,Kepler-436,80,True,"['Temperatura ideal (322K)', 'Masa terrestre (7.9 M⊕)', 'Órbita estable (64 días)', 'Estrella tipo solar']",['Posible gigante gaseoso (2.73 R⊕)'],322.0,2.73,7.9,588.867
