pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist,score_IRIS,score_NEO,score_ALEX,score_EVA,score_consensus
TOI-756 b,TOI-756,1,2,Transit,2025,1.2392495,2.81,9.83,934.0,3657.0,0.505,0.505,86.1759,0.0,96.38247100491638,80.0,0.0,44.0956177512291
TOI-756 c,TOI-756,1,2,Radial Velocity,2025,149.4,13.0,1287.20504835,194.0,3657.0,0.505,0.505,86.1759,0.0,56.2907918661357,10.56472496095256,12.48778538812785,19.835825553804025
TOI-283 b,TOI-283,1,1,Transit,2025,17.61745,2.34,6.54,661.0,5213.0,0.85,0.8,82.7013,0.0,96.0057055920139,60.255505547529154,0.0,39.06530278488576
BD+05 4868 A b,BD+05 4868 A,2,1,Transit,2025,1.271869,,6.2,1820.0,4596.0,0.69,0.7,43.5687,0.0,75.73596229364028,30.0,10.10453717808219,28.960124867930617
TOI-2719 b,TOI-2719,1,1,Transit,2025,3.37594,5.98,29.9,1710.0,5762.0,1.69,1.02,588.368,0.0,72.39278079641487,80.0,0.0,38.09819519910371
GJ 508.2 b,GJ 508.2,1,1,Radial Velocity,2025,5300.0,,587.98255295,,3720.0,0.53,0.54,16.6374,0.0,85.59379282669899,30.0,40.0,38.89844820667474
HD 102888 b,HD 102888,1,1,Radial Velocity,2025,252.06,12.8,1808.44363583,,4990.0,8.6,2.42,126.484,0.0,66.00913492301338,30.0,30.717260273972602,31.681598799246494
HD 143811 AB b,HD 143811 A,2,1,Imaging,2025,117000.0,15.69257298,1938.7532827,,6791.0,1.68398,1.32,136.608,0.0,0.0,30.0,10.0,10.0
WASP-155 b,WASP-155,1,1,Transit,2025,3.110413,13.45077684,276.8285425,1468.0,5660.0,1.24,1.09,399.63,0.0,62.010666263910984,28.186694515891702,0.0,22.549340194950673
TOI-238 c,TOI-238,1,2,Radial Velocity,2024,8.465651,2.18,6.7,696.0,5059.0,0.733,0.79,80.5407,0.0,96.52447225275715,61.925497003431104,0.0,39.61249231404706
HD 222237 b,HD 222237,1,1,Radial Velocity,2024,14892.0,12.8,1649.52943233,,4751.0,0.71,0.76,11.4469,0.0,40.754697975781625,30.0,10.0,20.188674493945406
SPECULOOS-3 b,SPECULOOS-3,1,1,Transit,2024,0.71912603,0.977,0.894,553.0,2800.0,0.123,0.1009,,30.0,90.86054759876819,54.8225019167286,38.58493958237443,53.56699727446781
TOI-1794 b,TOI-1794,1,1,Transit,2024,8.765528,3.29701268,8.7,992.91,5631.0,1.3162,0.9698,155.791,0.0,94.3573775358106,80.0,0.0,43.58934438395265
TOI-6016 b,TOI-6016,1,1,Transit,2024,4.023687,13.67495645,371.85923619,1890.0,6110.0,1.51,1.31,364.715,0.0,50.91851105811637,17.40140425793554,0.0,17.07997882901298
TOI-6086 b,TOI-6086,1,1,Transit,2024,1.3888725,1.18,1.76,634.0,3200.0,0.259,0.254,31.4566,30.0,93.14590929701886,58.70961747485706,11.914153904109586,48.44242016899638
OGLE-2017-BLG-0640L b,OGLE-2017-BLG-0640L,1,1,Microlensing,2024,,13.5,514.88201934,,,,0.32,6630.0,0.0,75.91232468428721,30.0,40.0,36.47808117107181
HIP 67522 c,HIP 67522,1,2,Transit,2024,14.334892,7.93595834,48.3,917.0,5675.0,1.38,1.22,127.28,0.0,87.16387106757504,80.0,0.0,41.79096776689376
BD-210397 c,BD-210397,1,2,Radial Velocity,2023,6240.0,12.9,1525.5763536,,4051.0,0.747,0.69,23.7324,0.0,57.30831387264435,30.0,10.0,24.327078468161087
HD 89839 b,HD 89839,1,1,Radial Velocity,2023,3441.0,12.9,1592.32031907,,6314.0,1.28588,1.21,57.3063,0.0,61.83363332259944,30.0,10.0,25.45840833064986
HD 108202 b,HD 108202,1,1,Radial Velocity,2023,2990.0,13.1,953.485221,,4556.03,0.66355,0.74,38.6846,0.0,67.60236365655837,30.0,10.0,26.900590914139592
HD 63433 d,HD 63433,1,3,Transit,2023,4.209075,1.073,1.25,1040.0,5688.0,0.912,0.99,22.4035,30.0,90.58129056695884,80.0,30.655951369863015,57.80931048420546
TOI-1801 b,TOI-1801,2,1,Transit,2023,10.64387,2.079,5.738,493.7,3863.0,0.547,0.556,30.6796,0.0,91.59402169266184,52.45418290326906,0.0,36.01205114898272
BD-210397 b,BD-210397,1,2,Radial Velocity,2023,1891.0,14.0,214.0,,4051.0,0.747,0.679,23.7324,0.0,74.07554371968374,30.0,10.0,28.518885929920934
Kepler-1983 b,Kepler-1983,1,1,Transit,2023,7.32851947,2.33,6.04,807.0,5135.0,0.874,0.812,424.428,0.0,98.43699592923022,67.07948576531335,0.0,41.3791204236359
Kepler-949 c,Kepler-949,1,2,Transit,2023,20.99757968,2.97,9.11,582.0,5211.0,0.895,0.817,486.105,0.0,95.01376281199313,56.27147004245733,0.0,37.82130821361262
KMT-2017-BLG-0428L b,KMT-2017-BLG-0428L,1,1,Microlensing,2023,,2.23,5.59,,,,0.34,5400.0,10.0,98.73765967567053,30.0,40.0,44.68441491891763
TOI-4201 b,TOI-4201,1,1,Transit,2023,3.5819194,13.67495645,788.21444936,725.0,3794.0,0.63,0.61,189.011,0.0,71.84797204966914,24.870015762795823,0.0,24.179496953116242
HD 29985 b,HD 29985,1,1,Radial Velocity,2022,20608.14049,12.8,1739.47487151,,4678.0,0.574666,0.75,31.2707,0.0,29.62733246105313,30.0,10.0,17.406833115263282
HD 11506 d,HD 11506,1,3,Radial Velocity,2022,26500.0,12.3,4068.2036096,,6123.0,1.24,1.22,51.261,0.0,0.4577920062786802,30.0,10.0,10.11444800156967
HD 72659 c,HD 72659,1,2,Radial Velocity,2022,18207.72098,12.1,5977.08102204,,5932.0,1.46,1.09,51.8949,0.0,0.0,30.0,10.0,10.0
HD 3167 e,HD 3167,1,4,Radial Velocity,2022,96.63,2.83,8.41,374.8,5261.0,0.88,0.837,47.2899,0.0,90.09353667629398,46.719233863256434,8.900525114155247,36.42832391342641
HD 168863 b,HD 168863,1,1,Radial Velocity,2022,14773.93272,12.7,2154.87659946,,4905.0,0.777826,0.8,39.8979,0.0,36.94442158714773,30.0,10.0,19.236105396786932
TOI-5542 b,TOI-5542,1,1,Transit,2022,75.12375,11.30986153,419.53349724,441.0,5700.0,1.058,0.89,348.849,0.0,72.60648088286115,29.752240266282797,0.2370547945205459,25.648943985916123
TOI-833 b,TOI-833,1,1,Transit,2022,1.0418777,1.27,2.15,1118.0,3920.0,0.6,0.61,41.7148,30.0,89.12544133645336,80.0,1.9856337835616422,50.277768780003754
HD 62364 c,HD 62364,1,2,Radial Velocity,2022,74839.94555,12.0,7923.46218651,,6255.0,1.401,1.19,53.112,0.0,0.0,30.0,10.0,10.0
HD 62364 b,HD 62364,1,2,Radial Velocity,2022,5138.0,12.1,5965.63919939,,6255.0,1.401,1.157,53.112,0.0,23.800735555195683,30.0,10.0,15.950183888798922
HD 199509 b,HD 199509,1,1,Radial Velocity,2022,99.62167,7.43,43.22466335,,5796.02,0.92,1.04,24.3056,0.0,91.05474716084959,30.0,18.188082465753425,34.81070740665075
TOI-1136 c,TOI-1136,1,6,Transit,2022,6.2574,2.879,6.32,1062.0,5770.0,0.968,1.022,84.5362,0.0,93.49417531767641,80.0,0.0,43.373543829419106
OGLE-2018-BLG-0298L b,OGLE-2018-BLG-0298L,1,1,Microlensing,2022,,7.56,44.49597698,,,,0.69,6540.0,0.0,90.95662377137009,30.0,40.0,40.23915594284252
HD 105618 b,HD 105618,1,2,Radial Velocity,2022,10.02245,5.44,25.42627256,,5671.0,1.27399,1.01,70.0837,0.0,95.07892477112242,30.0,10.823763013698631,33.97567194620526
HD 16905 b,HD 16905,1,1,Radial Velocity,2022,10256.0,12.4,3591.4609991,,4866.12,0.77494,0.85,39.7401,0.0,33.73512860543525,30.0,10.0,18.433782151358812
Kepler-1740 b,Kepler-1740,1,1,Transit,2021,8.172400475,3.32321414,11.0,858.0,5705.0,0.905,0.943,1061.77,0.0,97.48558143067358,80.0,0.0,44.37139535766839
OGLE-2017-BLG-1099L b,OGLE-2017-BLG-1099L,1,1,Microlensing,2021,,13.1,959.84178914,,,,0.45,7250.0,0.0,72.95281229927215,30.0,40.0,35.73820307481804
K2-335 b,K2-335,1,1,Transit,2021,12.283211,2.21,5.52,949.0,6222.0,1.33,1.23,557.993,0.0,94.89172983642223,80.0,0.0,43.72293245910556
Kepler-1600 c,Kepler-1600,1,2,Transit,2021,7.298049927,1.94206512,4.43,786.0,5119.0,0.834,0.818,1030.81,30.0,98.1653778927632,66.14261987161349,0.0,48.57699944109417
TOI-178 g,TOI-178,1,6,Transit,2021,20.71663,2.939,4.4,470.0,4316.0,0.662,0.647,62.699,0.0,92.41037371516562,51.09767377214054,0.0,35.87701187182654
TOI-178 e,TOI-178,1,6,Transit,2021,9.96318,2.301,3.48,600.0,4316.0,0.662,0.647,62.699,0.0,94.47892370080517,57.40941547996728,0.0,37.97208479519311
K2-138 g,K2-138,1,6,Transit,2021,41.96797,3.013,4.32,445.0,5356.3,0.863,0.935,202.585,0.0,91.647122454557,49.895083384954475,0.0,35.385551459877874
TOI-269 b,TOI-269,1,1,Transit,2021,3.6977104,2.77,8.8,531.0,3514.0,0.398,0.3917,57.0225,0.0,93.77441334785487,54.02355364598992,0.0,36.9494917484612
Kepler-1735 b,Kepler-1735,1,1,Transit,2021,7.71792984,1.19429134,1.84,502.0,3975.0,0.509,0.535,245.303,30.0,90.09379481052,52.604317208962,17.313943531141547,47.50301388765588
HD 66428 c,HD 66428,1,2,Radial Velocity,2021,10478.84437,13.5,560.64930995,,5716.0,1.13,1.01,53.2817,0.0,56.53138193913403,30.0,10.0,24.13284548478351
HD 68988 c,HD 68988,1,2,Radial Velocity,2021,16000.0,12.2,4776.96095721,,5883.41,1.255733,1.171665,60.8447,0.0,13.800645941195818,30.0,10.0,13.450161485298954
HD 24040 c,HD 24040,1,2,Radial Velocity,2021,515.4,9.35,63.88350981,,5776.49,1.387296,1.10394,46.6224,0.0,86.53214498733232,30.0,27.638356164383563,36.04262528792897
HIP 56640 b,HIP 56640,1,1,Radial Velocity,2021,2675.57603,12.7,2151.69831539,,4769.0,4.93,1.75,122.324,0.0,58.93557891358517,30.0,10.0,24.733894728396294
Kepler-1878 b,Kepler-1878,1,1,Transit,2021,4.445879936,2.92019781,8.86,1063.0,5918.0,0.865,0.956,1494.3,0.0,93.41523417160269,80.0,0.0,43.35380854290067
GJ 367 b,GJ 367,1,3,Transit,2021,0.3219225,0.699,0.633,1365.0,3522.0,0.458,0.455,9.41263,30.0,82.25820128646488,80.0,19.986459383561648,53.06116516750664
Kepler-1849 b,Kepler-1849,1,1,Transit,2021,57.29290009,2.38685349,6.29,355.0,4806.0,0.729,0.709,631.884,0.0,88.8537518500662,45.92513552701113,7.729838820182643,35.62718154931499
TOI-431 d,TOI-431,1,3,Transit,2021,12.46103,3.29,9.9,633.0,4850.0,0.731,0.78,32.5686,0.0,95.6262107944901,58.33872842882025,0.0,38.49123480582759
TOI-1260 c,TOI-1260,1,3,Transit,2021,7.493134,2.76,13.2,651.0,4227.0,0.672,0.679,73.5977,0.0,96.57260886366909,59.60431026472714,0.0,39.04422978209906
Kepler-1870 b,Kepler-1870,1,1,Transit,2021,3.606940031,2.10143764,5.07,1046.0,5508.0,0.84,0.955,407.216,0.0,92.39748115067647,80.0,0.0,43.09937028766912
