name,hostname,hab_score,score_TELESCOPIO,score_ASTROBIO,score_CLIMATÓLOGO,mission_score,reasons,warnings
Kepler-220 e,Kepler-220,56.81316646342994,87.04394993902898,87.04394993902898,87.04394993902898,87.04394993902899,"['Período observable', 'Estrella tipo solar', 'Tamaño terrestre (1.33 R⊕)']",[]
Kepler-560 b,Kepler-560,59.21323041836944,77.76396912551084,77.76396912551084,77.76396912551084,77.76396912551084,"['Estrella K (aceptable)', 'Temp robusta (298K)', 'Período observable']",[]
Kepler-296 f,Kepler-296,56.72975171387097,77.01892551416128,77.01892551416128,77.01892551416128,77.01892551416128,"['Estrella K (aceptable)', 'Temp robusta (274K)', 'Período observable']",[]
Kepler-445 d,Kepler-445,61.61074757584114,73.48322427275234,73.48322427275234,73.48322427275234,73.48322427275234,"['Tamaño terrestre (1.25 R⊕)', 'Temp robusta (305K)']","['Período muy corto', 'Enana M (posible flares)']"
HD 63433 d,HD 63433,57.80931048420546,72.34279314526164,72.34279314526164,72.34279314526164,72.34279314526164,"['Tamaño terrestre (1.07 R⊕)', 'Estrella tipo solar', 'Cercano (22.4 pc)']","['Temp extrema (1040K)', 'Período muy corto']"
Kepler-296 e,Kepler-296,56.02163259461007,66.80648977838302,66.80648977838302,66.80648977838302,66.80648977838302,"['Estrella K (aceptable)', 'Período observable']",[]
Kepler-220 d,Kepler-220,55.53935080750367,66.6618052422511,66.6618052422511,66.6618052422511,66.6618052422511,"['Tamaño terrestre (0.98 R⊕)', 'Estrella tipo solar', 'Período observable']",['Temp extrema (401K)']
GJ 667 C f,GJ 667 C,54.228644645005,66.2685933935015,66.2685933935015,66.2685933935015,66.2685933935015,"['Tamaño terrestre (1.45 R⊕)', 'Cercano (7.2 pc)', 'Período observable']",['Enana M (posible flares)']
Kepler-249 d,Kepler-249,53.908397233571584,66.17251917007147,66.17251917007147,66.17251917007147,66.17251917007147,"['Estrella K (aceptable)', 'Período observable']",[]
HD 136352 b,HD 136352,51.22290922465882,65.36687276739764,65.36687276739764,65.36687276739764,65.36687276739764,"['Estrella tipo solar', 'Período observable', 'Cercano (14.7 pc)']",['Temp extrema (905K)']
