index,prime,gap_to_next
1,2,1.0
2,3,2.0
3,5,2.0
4,7,4.0
5,11,2.0
6,13,4.0
7,17,2.0
8,19,4.0
9,23,6.0
10,29,2.0
11,31,6.0
12,37,4.0
13,41,2.0
14,43,4.0
15,47,6.0
16,53,6.0
17,59,2.0
18,61,6.0
19,67,4.0
20,71,2.0
21,73,6.0
22,79,4.0
23,83,6.0
24,89,8.0
25,97,4.0
26,101,2.0
27,103,4.0
28,107,2.0
29,109,4.0
30,113,14.0
31,127,4.0
32,131,6.0
33,137,2.0
34,139,10.0
35,149,2.0
36,151,6.0
37,157,6.0
38,163,4.0
39,167,6.0
40,173,6.0
41,179,2.0
42,181,10.0
43,191,2.0
44,193,4.0
45,197,2.0
46,199,12.0
47,211,12.0
48,223,4.0
49,227,2.0
50,229,4.0
51,233,6.0
52,239,2.0
53,241,10.0
54,251,6.0
55,257,6.0
56,263,6.0
57,269,2.0
58,271,6.0
59,277,4.0
60,281,2.0
61,283,10.0
62,293,14.0
63,307,4.0
64,311,2.0
65,313,4.0
66,317,14.0
67,331,6.0
68,337,10.0
69,347,2.0
70,349,4.0
71,353,6.0
72,359,8.0
73,367,6.0
74,373,6.0
75,379,4.0
76,383,6.0
77,389,8.0
78,397,4.0
79,401,8.0
80,409,10.0
81,419,2.0
82,421,10.0
83,431,2.0
84,433,6.0
85,439,4.0
86,443,6.0
87,449,8.0
88,457,4.0
89,461,2.0
90,463,4.0
91,467,12.0
92,479,8.0
93,487,4.0
94,491,8.0
95,499,4.0
96,503,6.0
97,509,12.0
98,521,2.0
99,523,18.0
100,541,6.0
101,547,10.0
102,557,6.0
103,563,6.0
104,569,2.0
105,571,6.0
106,577,10.0
107,587,6.0
108,593,6.0
109,599,2.0
110,601,6.0
111,607,6.0
112,613,4.0
113,617,2.0
114,619,12.0
115,631,10.0
116,641,2.0
117,643,4.0
118,647,6.0
119,653,6.0
120,659,2.0
121,661,12.0
122,673,4.0
123,677,6.0
124,683,8.0
125,691,10.0
126,701,8.0
127,709,10.0
128,719,8.0
129,727,6.0
130,733,6.0
131,739,4.0
132,743,8.0
133,751,6.0
134,757,4.0
135,761,8.0
136,769,4.0
137,773,14.0
138,787,10.0
139,797,12.0
140,809,2.0
141,811,10.0
142,821,2.0
143,823,4.0
144,827,2.0
145,829,10.0
146,839,14.0
147,853,4.0
148,857,2.0
149,859,4.0
150,863,14.0
151,877,4.0
152,881,2.0
153,883,4.0
154,887,20.0
155,907,4.0
156,911,8.0
157,919,10.0
158,929,8.0
159,937,4.0
160,941,6.0
161,947,6.0
162,953,14.0
163,967,4.0
164,971,6.0
165,977,6.0
166,983,8.0
167,991,6.0
168,997,12.0
169,1009,4.0
170,1013,6.0
171,1019,2.0
172,1021,10.0
173,1031,2.0
174,1033,6.0
175,1039,10.0
176,1049,2.0
177,1051,10.0
178,1061,2.0
179,1063,6.0
180,1069,18.0
181,1087,4.0
182,1091,2.0
183,1093,4.0
184,1097,6.0
185,1103,6.0
186,1109,8.0
187,1117,6.0
188,1123,6.0
189,1129,22.0
190,1151,2.0
191,1153,10.0
192,1163,8.0
193,1171,10.0
194,1181,6.0
195,1187,6.0
196,1193,8.0
197,1201,12.0
198,1213,4.0
199,1217,6.0
200,1223,6.0
201,1229,2.0
202,1231,6.0
203,1237,12.0
204,1249,10.0
205,1259,18.0
206,1277,2.0
207,1279,4.0
208,1283,6.0
209,1289,2.0
210,1291,6.0
211,1297,4.0
212,1301,2.0
213,1303,4.0
214,1307,12.0
215,1319,2.0
216,1321,6.0
217,1327,34.0
218,1361,6.0
219,1367,6.0
220,1373,8.0
221,1381,18.0
222,1399,10.0
223,1409,14.0
224,1423,4.0
225,1427,2.0
226,1429,4.0
227,1433,6.0
228,1439,8.0
229,1447,4.0
230,1451,2.0
231,1453,6.0
232,1459,12.0
233,1471,10.0
234,1481,2.0
235,1483,4.0
236,1487,2.0
237,1489,4.0
238,1493,6.0
239,1499,12.0
240,1511,12.0
241,1523,8.0
242,1531,12.0
243,1543,6.0
244,1549,4.0
245,1553,6.0
246,1559,8.0
247,1567,4.0
248,1571,8.0
249,1579,4.0
250,1583,14.0
251,1597,4.0
252,1601,6.0
253,1607,2.0
254,1609,4.0
255,1613,6.0
256,1619,2.0
257,1621,6.0
258,1627,10.0
259,1637,20.0
260,1657,6.0
261,1663,4.0
262,1667,2.0
263,1669,24.0
264,1693,4.0
265,1697,2.0
266,1699,10.0
267,1709,12.0
268,1721,2.0
269,1723,10.0
270,1733,8.0
271,1741,6.0
272,1747,6.0
273,1753,6.0
274,1759,18.0
275,1777,6.0
276,1783,4.0
277,1787,2.0
278,1789,12.0
279,1801,10.0
280,1811,12.0
281,1823,8.0
282,1831,16.0
283,1847,14.0
284,1861,6.0
285,1867,4.0
286,1871,2.0
287,1873,4.0
288,1877,2.0
289,1879,10.0
290,1889,12.0
291,1901,6.0
292,1907,6.0
293,1913,18.0
294,1931,2.0
295,1933,16.0
296,1949,2.0
297,1951,22.0
298,1973,6.0
299,1979,8.0
300,1987,6.0
301,1993,4.0
302,1997,2.0
303,1999,4.0
304,2003,8.0
305,2011,6.0
306,2017,10.0
307,2027,2.0
308,2029,10.0
309,2039,14.0
310,2053,10.0
311,2063,6.0
312,2069,12.0
313,2081,2.0
314,2083,4.0
315,2087,2.0
316,2089,10.0
317,2099,12.0
318,2111,2.0
319,2113,16.0
320,2129,2.0
321,2131,6.0
322,2137,4.0
323,2141,2.0
324,2143,10.0
325,2153,8.0
326,2161,18.0
327,2179,24.0
328,2203,4.0
329,2207,6.0
330,2213,8.0
331,2221,16.0
332,2237,2.0
333,2239,4.0
334,2243,8.0
335,2251,16.0
336,2267,2.0
337,2269,4.0
338,2273,8.0
339,2281,6.0
340,2287,6.0
341,2293,4.0
342,2297,12.0
343,2309,2.0
344,2311,22.0
345,2333,6.0
346,2339,2.0
347,2341,6.0
348,2347,4.0
349,2351,6.0
350,2357,14.0
351,2371,6.0
352,2377,4.0
353,2381,2.0
354,2383,6.0
355,2389,4.0
356,2393,6.0
357,2399,12.0
358,2411,6.0
359,2417,6.0
360,2423,14.0
361,2437,4.0
362,2441,6.0
363,2447,12.0
364,2459,8.0
365,2467,6.0
366,2473,4.0
367,2477,26.0
368,2503,18.0
369,2521,10.0
370,2531,8.0
371,2539,4.0
372,2543,6.0
373,2549,2.0
374,2551,6.0
375,2557,22.0
376,2579,12.0
377,2591,2.0
378,2593,16.0
379,2609,8.0
380,2617,4.0
381,2621,12.0
382,2633,14.0
383,2647,10.0
384,2657,2.0
385,2659,4.0
386,2663,8.0
387,2671,6.0
388,2677,6.0
389,2683,4.0
390,2687,2.0
391,2689,4.0
392,2693,6.0
393,2699,8.0
394,2707,4.0
395,2711,2.0
396,2713,6.0
397,2719,10.0
398,2729,2.0
399,2731,10.0
400,2741,8.0
401,2749,4.0
402,2753,14.0
403,2767,10.0
404,2777,12.0
405,2789,2.0
406,2791,6.0
407,2797,4.0
408,2801,2.0
409,2803,16.0
410,2819,14.0
411,2833,4.0
412,2837,6.0
413,2843,8.0
414,2851,6.0
415,2857,4.0
416,2861,18.0
417,2879,8.0
418,2887,10.0
419,2897,6.0
420,2903,6.0
421,2909,8.0
422,2917,10.0
423,2927,12.0
424,2939,14.0
425,2953,4.0
426,2957,6.0
427,2963,6.0
428,2969,2.0
429,2971,28.0
430,2999,2.0
431,3001,10.0
432,3011,8.0
433,3019,4.0
434,3023,14.0
435,3037,4.0
436,3041,8.0
437,3049,12.0
438,3061,6.0
439,3067,12.0
440,3079,4.0
441,3083,6.0
442,3089,20.0
443,3109,10.0
444,3119,2.0
445,3121,16.0
446,3137,26.0
447,3163,4.0
448,3167,2.0
449,3169,12.0
450,3181,6.0
451,3187,4.0
452,3191,12.0
453,3203,6.0
454,3209,8.0
455,3217,4.0
456,3221,8.0
457,3229,22.0
458,3251,2.0
459,3253,4.0
460,3257,2.0
461,3259,12.0
462,3271,28.0
463,3299,2.0
464,3301,6.0
465,3307,6.0
466,3313,6.0
467,3319,4.0
468,3323,6.0
469,3329,2.0
470,3331,12.0
471,3343,4.0
472,3347,12.0
473,3359,2.0
474,3361,10.0
475,3371,2.0
476,3373,16.0
477,3389,2.0
478,3391,16.0
479,3407,6.0
480,3413,20.0
481,3433,16.0
482,3449,8.0
483,3457,4.0
484,3461,2.0
485,3463,4.0
486,3467,2.0
487,3469,22.0
488,3491,8.0
489,3499,12.0
490,3511,6.0
