time_tag,dsflag_de1,dsflag_de4,dsflag_p1,dsflag_p3,dsflag_p5,dsflag_p7,dsflag_fp6p,numpts_de1,numpts_de4,numpts_p1,numpts_p3,numpts_p5,numpts_p7,numpts_fp6p,de1,de4,p1,p3,p5,p7,fp6p,fp6p_ratio,dsflag_p2,dsflag_p4,dsflag_p6,dsflag_p8,numpts_p2,numpts_p4,numpts_p6,numpts_p8,p2,p4,p6,p8,dsflag_p1_30,dsflag_p2_30,dsflag_p4_30,dsflag_p3_30,dsflag_p5_30,dsflag_p6_30,dsflag_p7_30,dsflag_p8_30,numpts_p1_30,numpts_p2_30,numpts_p3_30,numpts_p4_30,numpts_p5_30,numpts_p6_30,numpts_p7_30,numpts_p8_30,p1_30,p2_30,p3_30,p4_30,p5_30,p6_30,p7_30,p8_30
2025-12-06T05:20:00,0,0,0,0,0,0,0,50,50,198,198,198,99,99,2929.1929,16.201555,8496.8789,80.7948,19.754484,2.8186548,10.796563,,0,0,0,0,198,198,99,99,245.33109,34.9832,8.2254524,0.63443273,0,0,0,0,0,0,0,0,50,50,50,50,25,25,25,25,12456.689,4338387.5,346070.06,1495.9449,26.841917,11.82483,4.0716634,0.72124147
2025-12-06T05:15:00,0,0,0,0,0,0,0,46,46,182,182,182,91,91,3448.1292,15.102882,9325.2129,122.60604,19.803232,3.2030394,10.986241,,0,0,0,0,182,182,91,91,484.46115,43.9468,8.419322,0.58903694,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,13832.784,4322988.5,353853.91,1583.8295,27.178926,11.601785,3.7266881,0.74678993
2025-12-06T05:10:00,0,0,0,0,0,0,0,46,46,182,182,182,91,91,3185.9409,14.886791,7634.3145,70.095459,19.920118,2.9753881,11.135749,,0,0,0,0,182,182,91,91,149.44229,37.629879,8.7133484,0.70025945,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,12493.867,4322988.5,349881.0,1532.8271,24.484608,10.87744,3.711585,0.71646631
2025-12-06T05:05:00,0,0,0,0,0,0,0,50,50,198,198,198,99,99,3391.7546,15.294312,8541.4111,87.349472,20.114138,2.9128931,10.177571,,0,0,0,0,198,198,99,99,248.3439,39.379028,9.0409288,0.6475724,0,0,0,0,0,0,0,0,50,50,50,50,25,25,25,25,12793.215,4341129.5,370841.09,1779.5985,25.909552,11.353638,3.6974101,0.79533929
2025-12-06T05:00:00,0,0,0,0,0,0,0,46,46,182,182,182,91,91,3737.8987,18.974964,8507.375,90.334785,20.765064,3.2593954,10.119981,,0,0,0,0,182,182,91,91,224.72112,42.117104,9.1334667,0.64105147,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,13838.014,4343872.0,362822.22,1662.212,24.157726,10.563185,4.206841,0.83681905
2025-12-06T04:55:00,0,0,0,0,0,0,0,46,46,182,182,182,91,91,3317.7434,16.142445,7997.8433,94.286369,20.368839,3.6357365,11.35247,,0,0,0,0,182,182,91,91,232.13577,41.972767,9.8006802,0.62085432,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,13135.034,4337905.0,362311.0,1614.0275,26.705437,11.302018,3.8242292,0.74434143
2025-12-06T04:50:00,0,0,0,0,0,0,0,50,50,198,198,198,99,99,3266.4443,14.634011,8206.7441,85.367401,20.823427,3.080883,10.335206,,0,0,0,0,198,198,99,99,193.72594,40.682358,8.7290831,0.61764783,0,0,0,0,0,0,0,0,50,50,50,50,25,25,25,25,12546.939,4305480.0,344875.16,1543.0819,26.046127,10.273998,4.0392704,0.80901617
2025-12-06T04:45:00,0,0,0,0,0,0,0,46,46,182,182,182,91,91,3055.283,17.783556,8749.0986,80.77343,21.300957,3.4287803,11.202964,,0,0,0,0,182,182,91,91,267.18317,39.10722,9.1843557,0.70865184,0,0,0,0,0,0,0,0,46,46,46,46,23,23,22,23,12928.919,4337905.0,352466.31,1544.1685,25.984314,9.9469347,3.889221,0.76807302
2025-12-06T04:40:00,0,0,0,0,0,0,0,46,46,183,183,183,91,91,3947.3794,15.556563,8571.957,77.47821,18.443045,3.1431437,10.75317,,0,0,0,0,183,183,91,91,259.66403,35.022598,8.5022669,0.6492281,0,0,0,0,0,0,0,0,46,46,46,46,23,23,22,23,13498.059,4311052.0,350226.13,1580.8087,24.389868,10.694276,3.6879554,0.7652173
2025-12-06T04:35:00,0,0,0,0,0,0,0,49,49,198,198,198,99,99,2982.168,12.77663,7720.0918,67.139008,22.096582,3.8089931,10.881206,,0,0,0,0,198,198,99,99,122.12396,38.606331,9.5687237,0.63408422,0,0,0,0,0,0,0,0,49,49,49,49,25,25,25,25,12541.679,4315864.0,347498.03,1583.3124,19.908558,10.544415,3.7931767,0.71976978
