name,gps_time,mass1,mass2,distance_Mpc,type
GW240109_050431-v1,1388811889.8,28.8,18.1,1510.0,GWTC-4.0
GW240107_013215-v1,1388626353.7,59.0,32.0,5800.0,GWTC-4.0
GW240105_151143-v1,1388502721.2,,,,GWTC-4.0
GW240104_164932-v1,1388422190.6,42.3,32.1,1910.0,GWTC-4.0
GW231231_154016-v1,1388072434.7,22.5,17.2,1070.0,GWTC-4.0
GW231231_120147-v1,1388059325.6,,,,GWTC-4.0
GW231230_170116-v1,1387990895.0,54.0,35.0,5700.0,GWTC-4.0
GW231226_101520-v1,1387620938.3,40.1,35.0,1180.0,GWTC-4.0
GW231224_024321-v1,1387421020.0,9.3,7.3,950.0,GWTC-4.0
GW231223_202619-v1,1387398397.0,11.1,8.3,890.0,GWTC-4.0
GW231223_075055-v1,1387353073.3,11.9,6.8,970.0,GWTC-4.0
GW231223_032836-v1,1387337334.1,46.0,31.0,4200.0,GWTC-4.0
GW231221_135041-v1,1387201859.3,47.0,28.0,4600.0,GWTC-4.0
GW231220_173406-v1,1387128864.2,,,,GWTC-4.0
GW231213_111417-v1,1386501275.9,35.5,27.2,4000.0,GWTC-4.0
GW231206_233901-v1,1385941159.5,37.6,28.4,1490.0,GWTC-4.0
GW231206_233134-v1,1385940712.5,35.6,28.1,3200.0,GWTC-4.0
GW231206_010629-v1,1385860007.2,,,,GWTC-4.0
GW231204_090648-v1,1385716026.9,,,,GWTC-4.0
GW231129_081745-v1,1385281083.6,45.0,23.8,3800.0,GWTC-4.0
GW231127_165300-v1,1385139198.9,45.0,29.0,4500.0,GWTC-4.0
GW231126_010928-v1,1384996186.3,,,,GWTC-4.0
GW231123_135430-v2,1384782888.7,137.0,101.0,2200.0,GWTC-4.0
GW231120_022103-v1,1384482081.0,,,,GWTC-4.0
GW231119_075248-v1,1384415586.1,49.0,33.0,6700.0,GWTC-4.0
GW231118_090602-v1,1384333580.0,13.1,7.3,1350.0,GWTC-4.0
GW231118_071402-v1,1384326860.2,43.0,29.0,4300.0,GWTC-4.0
GW231118_005626-v1,1384304204.8,19.8,10.9,2190.0,GWTC-4.0
GW231114_043211-v1,1383971549.2,22.7,8.2,1380.0,GWTC-4.0
GW231113_200417-v1,1383941075.9,11.5,7.4,1160.0,GWTC-4.0
GW231113_150041-v1,1383922859.4,,,,GWTC-4.0
GW231113_122623-v1,1383913601.9,39.7,26.4,3400.0,GWTC-4.0
GW231110_040320-v1,1383624218.2,19.5,12.5,1890.0,GWTC-4.0
GW231108_125142-v1,1383483120.5,23.2,17.4,2060.0,GWTC-4.0
GW231104_133418-v1,1383140076.9,12.3,8.6,1470.0,GWTC-4.0
GW231102_232433-v1,1383002691.5,,,,GWTC-4.0
GW231102_071736-v1,1382944674.4,61.0,43.0,3800.0,GWTC-4.0
GW231102_052214-v1,1382937752.4,,,,GWTC-4.0
GW231029_111508-v1,1382613326.8,65.0,42.0,3100.0,GWTC-4.0
GW231028_153006-v1,1382542224.3,95.0,58.0,4100.0,GWTC-4.0
GW231026_130704-v1,1382360842.2,,,,GWTC-4.0
GW231020_142947-v1,1381847405.6,12.1,7.3,1230.0,GWTC-4.0
GW231018_233037-v1,1381707055.0,11.6,7.2,1530.0,GWTC-4.0
GW231014_040532-v1,1381291551.0,20.6,14.7,2300.0,GWTC-4.0
GW231013_135504-v1,1381240522.4,,,,GWTC-4.0
GW231008_142521-v1,1380810339.8,45.0,25.5,3000.0,GWTC-4.0
GW231005_144455-v1,1380552313.4,,,,GWTC-4.0
GW231005_091549-v1,1380532567.5,28.8,21.2,3800.0,GWTC-4.0
GW231005_021030-v1,1380507049.0,83.0,49.0,6400.0,GWTC-4.0
GW231004_232346-v1,1380497044.3,65.0,35.0,4300.0,GWTC-4.0
GW231002_143916-v1,1380292774.7,,,,GWTC-4.0
GW231001_140220-v1,1380204158.7,75.0,40.0,4400.0,GWTC-4.0
GW230930_110730-v1,1380107268.4,34.4,24.4,4900.0,GWTC-4.0
GW230928_215827-v1,1379973525.1,54.0,29.0,5000.0,GWTC-4.0
GW230927_153832-v1,1379864330.9,21.9,16.5,1180.0,GWTC-4.0
GW230927_043729-v1,1379824667.1,34.9,27.1,3300.0,GWTC-4.0
GW230925_143957-v1,1379688015.5,,,,GWTC-4.0
GW230924_124453-v1,1379594711.8,28.8,23.1,2400.0,GWTC-4.0
GW230922_040658-v1,1379390836.1,76.0,51.0,6400.0,GWTC-4.0
GW230922_020344-v1,1379383442.9,39.3,29.2,1640.0,GWTC-4.0
GW230920_071124-v1,1379229102.7,32.4,23.8,2900.0,GWTC-4.0
GW230920_064709-v1,1379227647.3,,,,GWTC-4.0
GW230919_215712-v1,1379195850.0,27.3,21.4,1330.0,GWTC-4.0
GW230914_111401-v1,1378725259.7,59.0,36.0,2700.0,GWTC-4.0
GW230911_195324-v1,1378497222.2,33.6,21.7,1370.0,GWTC-4.0
GW230904_152545-v1,1377876363.2,,,,GWTC-4.0
GW230904_051013-v1,1377839431.1,10.6,7.1,1010.0,GWTC-4.0
GW230902_224555-v1,1377729973.7,,,,GWTC-4.0
GW230902_172430-v1,1377710688.8,,,,GWTC-4.0
GW230902_122814-v1,1377692912.9,,,,GWTC-4.0
GW230831_134621-v1,1377524799.7,,,,GWTC-4.0
GW230831_015414-v1,1377482072.1,42.0,30.0,4900.0,GWTC-4.0
GW230830_064744-v1,1377413282.2,,,,GWTC-4.0
GW230825_041334-v1,1376972032.5,43.0,27.3,4900.0,GWTC-4.0
GW230824_135331-v1,1376920429.9,,,,GWTC-4.0
GW230824_033047-v1,1376883065.7,53.0,36.0,4700.0,GWTC-4.0
GW230823_142524-v1,1376835942.6,,,,GWTC-4.0
GW230822_230337-v1,1376780635.5,,,,GWTC-4.0
GW230820_212515-v1,1376601934.0,62.0,34.0,4000.0,GWTC-4.0
GW230819_171910-v1,1376500768.4,70.0,35.0,4000.0,GWTC-4.0
GW230817_212349-v1,1376342647.1,,,,GWTC-4.0
GW230814_230901-v1,1376089759.8,33.6,28.3,280.0,GWTC-4.0
GW230814_061920-v1,1376029178.5,69.0,42.0,4000.0,GWTC-4.0
GW230811_032116-v1,1375759294.3,35.6,22.1,2100.0,GWTC-4.0
GW230807_205045-v1,1375476663.4,,,,GWTC-4.0
GW230806_204041-v1,1375389659.9,51.0,35.0,5500.0,GWTC-4.0
GW230805_034249-v1,1375242188.0,32.1,22.6,3500.0,GWTC-4.0
GW230803_033412-v1,1375068870.4,45.0,29.0,4900.0,GWTC-4.0
GW230731_215307-v1,1374875605.9,10.4,7.8,1110.0,GWTC-4.0
GW230729_082317-v1,1374654215.2,12.3,7.6,1630.0,GWTC-4.0
GW230728_083628-v1,1374568606.9,,,,GWTC-4.0
GW230726_002940-v1,1374366598.1,35.6,27.9,2000.0,GWTC-4.0
GW230723_101834-v1,1374142732.4,16.7,10.6,1610.0,GWTC-4.0
GW230723_084820-v1,1374137318.4,,,,GWTC-4.0
GW230721_222634-v1,1374013612.8,,,,GWTC-4.0
GW230717_102139-v1,1373624517.1,,,,GWTC-4.0
GW230712_090405-v1,1373187863.9,32.0,13.1,2000.0,GWTC-4.0
GW230709_122727-v1,1372940865.2,45.0,30.0,4600.0,GWTC-4.0
GW230709_063445-v1,1372919703.1,,,,GWTC-4.0
