timestamp,density,speed,temperature
2025-11-29 02:25:00,0.46,568.2,2000
2025-11-29 02:26:00,0.52,570.8,7970
2025-11-29 02:27:00,0.32,570.4,2000
2025-11-29 02:28:00,0.33,582.8,2000
2025-11-29 02:29:00,0.37,581.5,2000
2025-11-29 02:30:00,0.48,583.0,2000
2025-11-29 02:31:00,0.95,587.6,8898
2025-11-29 02:32:00,1.24,585.4,11081
2025-11-29 02:33:00,1.11,586.5,10056
2025-11-29 02:34:00,0.41,589.8,2000
2025-11-29 02:35:00,0.31,582.7,2000
2025-11-29 02:36:00,0.25,572.5,2000
2025-11-29 02:37:00,0.24,582.9,2000
2025-11-29 02:38:00,0.24,581.8,2000
2025-11-29 02:39:00,0.3,584.3,2000
2025-11-29 02:40:00,0.25,583.0,2000
2025-11-29 02:41:00,0.45,567.1,2000
2025-11-29 02:42:00,0.42,573.8,8652
2025-11-29 02:43:00,0.47,570.7,2000
2025-11-29 02:44:00,0.45,566.0,2000
2025-11-29 02:45:00,0.28,582.6,2000
2025-11-29 02:46:00,0.2,585.1,2000
2025-11-29 02:47:00,0.24,579.3,2000
2025-11-29 02:48:00,0.19,583.8,2000
2025-11-29 02:49:00,0.21,582.6,2000
2025-11-29 02:50:00,0.19,572.5,2000
2025-11-29 02:51:00,0.37,600.4,13634
2025-11-29 02:52:00,0.34,602.3,13604
2025-11-29 02:53:00,0.38,601.3,13990
2025-11-29 02:54:00,0.18,591.6,2000
2025-11-29 02:55:00,0.3,604.6,10565
2025-11-29 02:56:00,0.26,608.6,5357
2025-11-29 02:57:00,0.25,610.5,2000
2025-11-29 02:58:00,0.23,604.7,2000
2025-11-29 02:59:00,0.22,610.5,2000
2025-11-29 03:00:00,0.24,608.7,5261
2025-11-29 03:01:00,0.23,610.5,2000
2025-11-29 03:02:00,0.21,610.5,2000
2025-11-29 03:03:00,0.22,610.5,2000
2025-11-29 03:04:00,0.22,610.5,2000
2025-11-29 03:05:00,0.27,608.8,5044
2025-11-29 03:06:00,0.25,610.5,2000
2025-11-29 03:07:00,0.26,610.5,2000
2025-11-29 03:08:00,0.22,610.5,2000
2025-11-29 03:09:00,0.22,610.5,2000
2025-11-29 03:10:00,0.27,607.6,6783
2025-11-29 03:11:00,0.33,604.9,11461
2025-11-29 03:12:00,0.31,606.7,7681
2025-11-29 03:14:00,0.1,596.4,2000
2025-11-29 03:15:00,0.08,597.8,2000
2025-11-29 03:16:00,0.19,597.5,2000
2025-11-29 03:17:00,0.15,591.0,2000
2025-11-29 03:18:00,0.07,591.0,2000
2025-11-29 03:19:00,0.19,572.5,2000
2025-11-29 03:20:00,0.18,572.5,2000
2025-11-29 03:24:00,0.06,591.0,2000
2025-11-29 03:25:00,0.21,572.5,2000
2025-11-29 03:26:00,0.15,599.6,2000
2025-11-29 03:27:00,0.13,594.3,2000
2025-11-29 03:28:00,0.28,593.3,2000
2025-11-29 03:29:00,0.34,592.0,2000
2025-11-29 03:30:00,0.59,587.8,7578
2025-11-29 03:31:00,0.49,587.5,6555
2025-11-29 03:32:00,0.42,590.2,4610
2025-11-29 03:34:00,0.21,572.5,2000
2025-11-29 03:35:00,0.37,606.4,9318
2025-11-29 03:37:00,0.22,598.3,6268
2025-11-29 03:39:00,0.09,599.2,2000
2025-11-29 03:40:00,0.1,591.0,2000
2025-11-29 03:41:00,0.22,594.7,2000
2025-11-29 03:42:00,0.32,590.7,2000
2025-11-29 03:43:00,0.07,593.9,2000
2025-11-29 03:45:00,0.12,590.7,2000
2025-11-29 03:46:00,0.12,592.3,2000
2025-11-29 03:47:00,0.16,597.9,2000
2025-11-29 03:48:00,0.29,604.9,2000
2025-11-29 03:49:00,0.33,576.3,2000
2025-11-29 03:50:00,0.25,610.5,2000
2025-11-29 03:51:00,0.27,609.4,3796
2025-11-29 03:52:00,0.24,610.5,2000
2025-11-29 03:53:00,0.21,572.5,2000
2025-11-29 03:54:00,0.14,590.6,2000
2025-11-29 03:55:00,0.09,594.2,2000
2025-11-29 03:56:00,0.11,595.1,2000
2025-11-29 03:57:00,0.47,591.3,7007
2025-11-29 03:58:00,0.45,591.6,6196
2025-11-29 03:59:00,0.3,595.9,2000
2025-11-29 04:00:00,0.33,593.8,2000
2025-11-29 04:01:00,0.15,593.4,2000
2025-11-29 04:02:00,0.27,596.6,2000
2025-11-29 04:03:00,0.39,592.4,2000
2025-11-29 04:04:00,0.25,595.2,2000
2025-11-29 04:05:00,0.28,597.0,2000
2025-11-29 04:06:00,0.25,595.4,2000
2025-11-29 04:07:00,0.23,595.7,2000
2025-11-29 04:08:00,0.26,594.8,2000
2025-11-29 04:09:00,0.14,600.7,2000
2025-11-29 04:10:00,0.29,594.1,2000
2025-11-29 04:11:00,0.16,600.2,2000
2025-11-29 04:12:00,0.3,587.1,2000
2025-11-29 04:13:00,0.64,587.9,11281
2025-11-29 04:14:00,0.14,593.0,2000
2025-11-29 04:15:00,0.35,592.1,2000
2025-11-29 04:16:00,0.67,588.3,10539
2025-11-29 04:17:00,0.32,596.6,2000
2025-11-29 04:18:00,0.28,596.1,2000
2025-11-29 04:19:00,0.28,596.5,2000
2025-11-29 04:20:00,0.29,596.7,2000
2025-11-29 04:21:00,0.26,596.3,2000
2025-11-29 04:22:00,0.4,593.0,4893
2025-11-29 04:23:00,1.04,585.8,12274
2025-11-29 04:24:00,0.95,587.3,12240
2025-11-29 04:25:00,0.46,593.8,2000
2025-11-29 04:26:00,0.64,590.0,9438
2025-11-29 04:27:00,0.74,588.8,10650
2025-11-29 04:28:00,0.87,586.7,11268
2025-11-29 04:29:00,0.9,586.1,11715
2025-11-29 04:30:00,0.76,586.6,10545
2025-11-29 04:31:00,0.44,590.7,5099
2025-11-29 04:32:00,0.55,588.8,7430
2025-11-29 04:33:00,0.38,591.5,2000
2025-11-29 04:34:00,0.21,591.6,2000
2025-11-29 04:35:00,0.32,591.6,2000
