t,phase,total_modes,total_variance_explained,field_mean_coherence,field_mean_energy,n_attractors,mean_speed,tensor_modes_strong,n_communities,mean_interaction_strength
1,warmup,0,0,0.10334949064306562,0.7386441445552866,0,0.0,0,2,0.1274210784133888
2,warmup,0,0,0.14861752551061017,0.7133020456088748,0,0.4984181081603838,0,2,0.15433424772258003
3,warmup,0,0,0.5445664885736345,0.7074100177652652,10,0.4865788985038134,0,2,0.19459657804931718
4,warmup,0,0,0.5090965947168804,0.7283176760285919,10,0.5435110182992487,0,2,0.2140985790645776
5,warmup,7,0.9332996578025412,0.4614631400164916,0.6906661178057046,20,0.5219179146975492,2,2,0.2330351718026082
6,warmup,7,0.9332996578025412,0.3885670241334116,0.7265235954568883,20,0.5426665705807409,2,2,0.2283283490338606
7,warmup,7,0.9332996578025412,0.35444733785702026,0.7103093694672341,20,0.5445284841033268,2,2,0.2217983513340704
8,warmup,7,0.9332996578025412,0.3588795298573256,0.7147123932520376,20,0.535122876192068,2,2,0.21063503803115718
9,warmup,7,0.9332996578025412,0.36925356486664945,0.7118138067998384,20,0.5481700316072888,2,2,0.2126742640361752
10,warmup,8,0.9095378326750335,0.3617169043382319,0.7172320822206641,45,0.5553377139491799,2,2,0.2141758523561859
11,warmup,8,0.9095378326750335,0.3509690488828315,0.7597329398406412,50,0.5469539678420273,2,2,0.21615178113302663
12,warmup,8,0.9095378326750335,0.360670722757937,0.7545984941255834,50,0.559909151070114,2,2,0.2139023816228251
13,warmup,8,0.9095378326750335,0.3666894384740321,0.7454670165426645,50,0.5561299486149807,2,2,0.21339157376099296
14,warmup,8,0.9095378326750335,0.3705877891960111,0.7394198894489479,50,0.5569844047970721,2,2,0.21223920772045807
15,warmup,9,0.9515886005216694,0.3402213327914512,0.7028932261387238,70,0.5604758651459583,3,2,0.21807284033831184
16,warmup,9,0.9515886005216694,0.3366733096965862,0.7035664976319628,70,0.5591055794067189,3,2,0.22723928482070338
17,warmup,9,0.9515886005216694,0.33800962832472564,0.7082720341083426,70,0.5549090946820083,3,2,0.2309414986317906
18,warmup,9,0.9515886005216694,0.34600772351247094,0.6640440492498422,70,0.5610079216251591,3,2,0.23493839334013822
19,warmup,9,0.9515886005216694,0.35873057053801355,0.6743047624793178,70,0.5605007684898329,3,2,0.23534399253515403
20,warmup,9,0.9423442498669713,0.34090688818291903,0.7345283441313974,95,0.5598407627906485,2,2,0.23582313791001308
21,warmup,9,0.9423442498669713,0.33083915797535646,0.7177765480333405,100,0.5593521443998507,2,2,0.2384334344398734
22,warmup,9,0.9423442498669713,0.3300681560626883,0.6630429524855801,100,0.5602676004784354,2,2,0.239958603270121
23,warmup,9,0.9423442498669713,0.33934416654113164,0.7209131171333658,100,0.563227372036041,2,2,0.24269680550476389
