t,S,N,C,delta
200,0.33004011,0.33356199,0.33639790,0.00450436
201,0.31603703,0.33453505,0.34942792,0.01915240
202,0.32060116,0.33006219,0.34933666,0.00639109
203,0.32219552,0.32834791,0.34945657,0.00234417
204,0.31753011,0.33476733,0.34770256,0.00812721
205,0.32586371,0.32431747,0.34981882,0.01353244
206,0.32842333,0.31830842,0.35326825,0.00738639
207,0.32528300,0.31971449,0.35500251,0.00385310
208,0.33012337,0.32368653,0.34619010,0.01081041
209,0.32517881,0.32985432,0.34496687,0.00799916
210,0.33086020,0.32364439,0.34549541,0.00843331
211,0.33618765,0.32349326,0.34031909,0.00742960
212,0.34020863,0.32183183,0.33795954,0.00494935
213,0.32761340,0.33023607,0.34215052,0.01571099
214,0.30739322,0.34110968,0.35149711,0.02478810
215,0.30490621,0.33841868,0.35667511,0.00634337
216,0.29972762,0.34589216,0.35438021,0.00937749
217,0.30344814,0.35059594,0.34595592,0.01034101
218,0.29388872,0.35515350,0.35095778,0.01171206
219,0.29022545,0.36132705,0.34844750,0.00760486
220,0.29193362,0.35710067,0.35096571,0.00520784
221,0.28939442,0.35634211,0.35426347,0.00423062
222,0.28700371,0.35062343,0.36237286,0.01020690
223,0.28541107,0.34315496,0.37143397,0.01184983
224,0.28432056,0.33922725,0.37645219,0.00646519
225,0.28342243,0.33652961,0.38004796,0.00458405
226,0.28387287,0.34407091,0.37205622,0.01099736
227,0.28100028,0.33846684,0.38053288,0.01055989
228,0.27457348,0.33152106,0.39390546,0.01638211
229,0.27709481,0.33040429,0.39250090,0.00309468
230,0.27600331,0.32913760,0.39485910,0.00289084
231,0.27243376,0.32988698,0.39767926,0.00461048
232,0.26162785,0.34161553,0.39675662,0.01597429
233,0.25671805,0.34918990,0.39409205,0.00941154
234,0.26099885,0.34559218,0.39340897,0.00563343
235,0.27328288,0.34544957,0.38126755,0.01727228
236,0.27835313,0.33496847,0.38667840,0.01283894
237,0.27677103,0.33866901,0.38455995,0.00454806
238,0.26382707,0.34541513,0.39075780,0.01585779
239,0.26878092,0.35379897,0.37742011,0.01651434
240,0.26228039,0.36051176,0.37720785,0.00934684
241,0.26047688,0.36332831,0.37619481,0.00349454
242,0.25425968,0.36189904,0.38384127,0.00995815
243,0.25590868,0.37286522,0.37122610,0.01679640
244,0.26490595,0.36971196,0.36538209,0.01118242
245,0.26214243,0.36945783,0.36839974,0.00409975
246,0.25836391,0.35914168,0.38249441,0.01787064
247,0.26055542,0.36612769,0.37331688,0.01174028
248,0.25956522,0.36892182,0.37151296,0.00347013
249,0.26097241,0.38730787,0.35171972,0.02705179
250,0.26455038,0.39217758,0.34327204,0.01038649
251,0.27190805,0.39579242,0.33229953,0.01369665
252,0.26493344,0.39115322,0.34391334,0.01431949
253,0.26477441,0.40158730,0.33363829,0.01464486
254,0.27606492,0.39541271,0.32852237,0.01384825
255,0.27660408,0.40033284,0.32306308,0.00736901
256,0.27983930,0.40533939,0.31482131,0.01017147
257,0.28070453,0.40216417,0.31713129,0.00402077
258,0.28807983,0.39588388,0.31603629,0.00974865
259,0.29209850,0.39166040,0.31624110,0.00583348
260,0.29035079,0.40407490,0.30557431,0.01646071
261,0.29261416,0.40788243,0.29950341,0.00751505
262,0.28594547,0.41892401,0.29513052,0.01362021
263,0.28761570,0.42274805,0.28963625,0.00689926
264,0.28997966,0.42852804,0.28149230,0.01026258
265,0.29235011,0.44487478,0.26277511,0.02496334
266,0.30235453,0.43165020,0.26599526,0.01689222
267,0.29340395,0.43871392,0.26788212,0.01155722
268,0.28520119,0.44695369,0.26784512,0.01162672
