t,S,N,C,delta,phase4_active
10000,0.99799896,0.00100286,0.00099817,0.00245076,1
10001,0.99805161,0.00097688,0.00097151,0.00006448,1
10002,0.99798671,0.00099713,0.00101616,0.00008134,1
10003,0.99793883,0.00104537,0.00101580,0.00006797,1
10004,0.99795654,0.00104199,0.00100147,0.00002303,1
10005,0.99793510,0.00106382,0.00100108,0.00003060,1
10006,0.99790719,0.00105303,0.00103978,0.00004892,1
10007,0.99786818,0.00106612,0.00106570,0.00004864,1
10008,0.99784887,0.00108824,0.00106290,0.00002950,1
10009,0.99781522,0.00109091,0.00109386,0.00004580,1
10010,0.99786404,0.00108721,0.00104876,0.00006656,1
10011,0.99785601,0.00108724,0.00105676,0.00001133,1
10012,0.99798640,0.00099853,0.00101507,0.00016312,1
10013,0.99800075,0.00099751,0.00100174,0.00001961,1
10014,0.99798258,0.00102129,0.00099613,0.00003045,1
10015,0.99793340,0.00107127,0.00099534,0.00007012,1
10016,0.99797106,0.00104439,0.00098455,0.00004751,1
10017,0.99796509,0.00105867,0.00097624,0.00001757,1
10018,0.99784868,0.00109710,0.00105421,0.00014528,1
10019,0.99783774,0.00108683,0.00107544,0.00002600,1
10020,0.99788681,0.00104304,0.00107015,0.00006599,1
10021,0.99786613,0.00104237,0.00109150,0.00002973,1
10022,0.99784677,0.00106820,0.00108504,0.00003291,1
10023,0.99777155,0.00109230,0.00113615,0.00009408,1
10024,0.99769589,0.00112982,0.00117429,0.00009266,1
10025,0.99771251,0.00111375,0.00117375,0.00002312,1
10026,0.99772770,0.00108025,0.00119205,0.00004109,1
10027,0.99769898,0.00109969,0.00120133,0.00003590,1
10028,0.99777841,0.00106775,0.00115384,0.00009790,1
10029,0.99774966,0.00105542,0.00119492,0.00005164,1
10030,0.99767244,0.00109527,0.00123228,0.00009458,1
10031,0.99770945,0.00106448,0.00122606,0.00004854,1
10032,0.99772147,0.00110948,0.00116904,0.00007362,1
10033,0.99766553,0.00113775,0.00119672,0.00006852,1
10034,0.99760132,0.00118175,0.00121693,0.00008042,1
10035,0.99754995,0.00122431,0.00122574,0.00006729,1
10036,0.99773819,0.00113870,0.00112311,0.00023086,1
10037,0.99777525,0.00110892,0.00111583,0.00004810,1
10038,0.99778374,0.00109165,0.00112462,0.00002116,1
10039,0.99780809,0.00108293,0.00110898,0.00003022,1
10040,0.99779822,0.00109996,0.00110182,0.00002095,1
10041,0.99774299,0.00110967,0.00114734,0.00007222,1
10042,0.99770737,0.00112104,0.00117159,0.00004458,1
10043,0.99753869,0.00119358,0.00126774,0.00020726,1
10044,0.99761577,0.00114223,0.00124200,0.00009613,1
10045,0.99760634,0.00114520,0.00124846,0.00001180,1
10046,0.99764811,0.00111931,0.00123257,0.00005164,1
10047,0.99758509,0.00114276,0.00127215,0.00007802,1
10048,0.99742625,0.00119469,0.00137906,0.00019840,1
10049,0.99748453,0.00117052,0.00134496,0.00007173,1
10050,0.99744614,0.00120325,0.00135061,0.00005076,1
10051,0.99756639,0.00117620,0.00125742,0.00015452,1
10052,0.99755648,0.00116287,0.00128065,0.00002855,1
10053,0.99750723,0.00118722,0.00130555,0.00006033,1
10054,0.99755905,0.00120112,0.00123984,0.00008483,1
10055,0.99756365,0.00118012,0.00125623,0.00002703,1
10056,0.99765806,0.00115524,0.00118670,0.00011986,1
10057,0.99758736,0.00118688,0.00122576,0.00008675,1
10058,0.99761065,0.00114222,0.00124713,0.00005472,1
10059,0.99767150,0.00110715,0.00122135,0.00007481,1
10060,0.99763681,0.00115136,0.00121183,0.00005699,1
10061,0.99778310,0.00106734,0.00114956,0.00017982,1
10062,0.99786713,0.00102202,0.00111086,0.00010301,1
10063,0.99801621,0.00094336,0.00104043,0.00018269,1
10064,0.99789071,0.00106077,0.00104852,0.00017205,1
10065,0.99785965,0.00109859,0.00104176,0.00004941,1
10066,0.99788270,0.00109191,0.00102539,0.00002905,1
10067,0.99782390,0.00114268,0.00103342,0.00007810,1
10068,0.99775900,0.00116043,0.00108057,0.00008216,1
10069,0.99759332,0.00126129,0.00114539,0.00020450,1
10070,0.99770121,0.00116974,0.00112905,0.00014243,1
10071,0.99776881,0.00115341,0.00107778,0.00008640,1
10072,0.99763889,0.00119518,0.00116593,0.00016246,1
10073,0.99765388,0.00120182,0.00114429,0.00002715,1
10074,0.99776561,0.00114176,0.00109263,0.00013696,1
10075,0.99781341,0.00114383,0.00104277,0.00006910,1
10076,0.99780117,0.00115231,0.00104652,0.00001535,1
10077,0.99780714,0.00110174,0.00109111,0.00006768,1
10078,0.99786466,0.00107513,0.00106021,0.00007051,1
10079,0.99791684,0.00102333,0.00105983,0.00007353,1
10080,0.99786979,0.00102433,0.00110589,0.00006585,1
10081,0.99779355,0.00102501,0.00118144,0.00010733,1
10082,0.99775843,0.00103329,0.00120828,0.00004497,1
10083,0.99780245,0.00102789,0.00116965,0.00005881,1
10084,0.99771929,0.00106016,0.00122055,0.00010271,1
10085,0.99781137,0.00106984,0.00111879,0.00013758,1
10086,0.99771967,0.00110844,0.00117189,0.00011277,1
10087,0.99763853,0.00117222,0.00118925,0.00010466,1
10088,0.99752212,0.00122082,0.00125707,0.00014322,1
10089,0.99747264,0.00128498,0.00124238,0.00008234,1
10090,0.99744789,0.00123975,0.00131236,0.00008693,1
10091,0.99768317,0.00113913,0.00117770,0.00028916,1
10092,0.99764386,0.00116781,0.00118834,0.00004981,1
10093,0.99762849,0.00113500,0.00123651,0.00006028,1
10094,0.99757253,0.00115939,0.00126808,0.00006873,1
10095,0.99763494,0.00112641,0.00123864,0.00007649,1
10096,0.99769534,0.00109121,0.00121344,0.00007431,1
10097,0.99770251,0.00107961,0.00121787,0.00001434,1
10098,0.99774300,0.00105648,0.00120052,0.00004975,1
10099,0.99771004,0.00112201,0.00116795,0.00008026,1
10100,0.99780586,0.00106629,0.00112784,0.00011788,1
10101,0.99771487,0.00110800,0.00117713,0.00011157,1
10102,0.99767697,0.00112576,0.00119727,0.00004645,1
10103,0.99766172,0.00115848,0.00117980,0.00004010,1
