step,global_sym_x,global_cf,global_ci,NEO_sym,NEO_cf,NEO_ci,EVA_sym,EVA_cf,EVA_ci,ALEX_sym,ALEX_cf,ALEX_ci,ADAM_sym,ADAM_cf,ADAM_ci,IRIS_sym,IRIS_cf,IRIS_ci
1,0.0000,0.5000,1.0000,0.0000,0.5000,1.0000,0.0000,0.5000,1.0000,0.0000,0.5000,1.0000,0.0000,0.5000,1.0000,0.0000,0.5000,1.0000
2,0.0000,0.5000,0.9500,0.0000,0.5000,0.9500,0.0000,0.5000,0.9500,0.0000,0.5000,0.9500,0.0000,0.5000,0.9500,0.0000,0.5000,0.9500
3,0.0000,0.7091,0.8460,0.0000,0.7002,0.8460,0.0000,0.6923,0.8460,0.0000,0.6941,0.8460,0.0000,0.7348,0.8460,0.0000,0.7240,0.8460
4,0.0000,0.6904,0.7031,0.0000,0.6872,0.7031,0.0000,0.6718,0.7031,0.0000,0.6857,0.7031,0.0000,0.7021,0.7031,0.0000,0.7052,0.7031
5,0.0000,0.6901,0.5935,0.0000,0.7028,0.5935,0.0000,0.6791,0.5935,0.0000,0.6812,0.5935,0.0000,0.6893,0.5935,0.0000,0.6982,0.5935
6,0.0000,0.6814,0.5659,0.0000,0.7008,0.5659,0.0000,0.6843,0.5659,0.0000,0.6781,0.5659,0.0000,0.6607,0.5659,0.0000,0.6832,0.5659
7,0.0000,0.6847,0.5605,0.0000,0.7167,0.5604,0.0000,0.6878,0.5604,0.0000,0.6815,0.5604,0.0000,0.6637,0.5605,0.0000,0.6738,0.5605
8,0.0000,0.6826,0.5550,0.0000,0.7016,0.5550,0.0000,0.6785,0.5550,0.0000,0.6959,0.5550,0.0000,0.6753,0.5551,0.0000,0.6617,0.5550
9,0.0000,0.6903,0.5550,0.0000,0.7029,0.5550,0.0000,0.6783,0.5550,0.0000,0.7074,0.5550,0.0000,0.6941,0.5551,0.0000,0.6689,0.5550
10,0.0000,0.6911,0.5550,0.0000,0.6801,0.5550,0.0000,0.6847,0.5550,0.0000,0.7171,0.5550,0.0000,0.6903,0.5551,0.0000,0.6834,0.5550
11,0.0000,0.6933,0.5550,0.0000,0.6710,0.5550,0.0000,0.6941,0.5550,0.0000,0.7083,0.5550,0.0000,0.6998,0.5551,0.0000,0.6934,0.5550
12,0.0000,0.6891,0.5550,0.0000,0.6702,0.5550,0.0000,0.6802,0.5550,0.0000,0.6919,0.5550,0.0000,0.7048,0.5550,0.0000,0.6985,0.5550
13,0.0000,0.6956,0.5550,0.0000,0.6936,0.5550,0.0000,0.6845,0.5550,0.0000,0.6795,0.5550,0.0000,0.7129,0.5550,0.0000,0.7074,0.5550
14,0.0000,0.6987,0.5550,0.0000,0.7185,0.5550,0.0000,0.6832,0.5550,0.0000,0.6774,0.5550,0.0000,0.7069,0.5550,0.0000,0.7076,0.5550
15,0.0000,0.7054,0.5550,0.0000,0.7262,0.5550,0.0000,0.6916,0.5550,0.0000,0.6816,0.5550,0.0000,0.7159,0.5550,0.0000,0.7118,0.5550
16,0.0000,0.7133,0.5550,0.0000,0.7280,0.5550,0.0000,0.6976,0.5551,0.0000,0.6946,0.5550,0.0000,0.7250,0.5550,0.0000,0.7212,0.5550
17,0.0000,0.7127,0.5551,0.0000,0.7264,0.5550,0.0000,0.6989,0.5551,0.0000,0.7021,0.5551,0.0000,0.7309,0.5550,0.0000,0.7053,0.5550
18,0.0000,0.7125,0.5551,0.0000,0.7200,0.5551,0.0000,0.7065,0.5552,0.0000,0.7009,0.5551,0.0000,0.7311,0.5551,0.0000,0.7037,0.5551
19,0.0000,0.7101,0.5551,0.0000,0.7090,0.5551,0.0000,0.7125,0.5553,0.0000,0.7026,0.5551,0.0000,0.7209,0.5551,0.0000,0.7056,0.5551
20,0.2994,0.7076,0.5551,0.2629,0.7086,0.5551,0.2977,0.7238,0.5553,0.2523,0.6977,0.5551,0.2807,0.7129,0.5551,0.4035,0.6951,0.5551
21,0.2994,0.7069,0.5552,0.2629,0.7043,0.5551,0.2977,0.7213,0.5553,0.2523,0.6950,0.5551,0.2807,0.7148,0.5551,0.4035,0.6989,0.5552
22,0.2994,0.7124,0.5674,0.2629,0.7029,0.6164,0.2977,0.7287,0.5552,0.2523,0.7049,0.5552,0.2807,0.7106,0.5551,0.4035,0.7147,0.5551
23,0.2994,0.7108,0.5797,0.2629,0.6992,0.6778,0.2977,0.7230,0.5552,0.2523,0.7062,0.5552,0.2807,0.7084,0.5552,0.4035,0.7173,0.5551
24,0.2994,0.7121,0.5748,0.2629,0.7000,0.6533,0.2977,0.7215,0.5552,0.2523,0.7066,0.5552,0.2807,0.7080,0.5552,0.4035,0.7246,0.5551
25,0.2994,0.7119,0.5749,0.2629,0.6977,0.6533,0.2977,0.7135,0.5552,0.2523,0.7063,0.5553,0.2807,0.7074,0.5553,0.4035,0.7346,0.5551
26,0.2994,0.7144,0.5749,0.2629,0.6945,0.6533,0.2977,0.7099,0.5553,0.2523,0.7097,0.5553,0.2807,0.7107,0.5555,0.4035,0.7475,0.5552
